"block","patch","corner","distance","species","stalk","no.viable_seeds","no.nonviable_seeds","notes","dispersed_percent","plant_ID","ptype","live","reproductive","length","width","height","no_basal_fl","no_axil_fl","predisp_seedpred","flags","Flag.Notes","dist_num"
"8","A","III","a","Liatris",2,NA,NA,NA,NA,"LE.8.A.III.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","III","a","Liatris",3,NA,NA,NA,NA,"LE.8.A.III.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","III","a","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.III.a","Center",1,0,"3.5","2.5","1.5","0",NA,NA,"0",NA,0
"8","A","III","a","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.III.a","Center",1,0,"3.5","2.5","1.5","0",NA,NA,"0",NA,0
"8","A","III","a","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.III.a","Center",1,0,"3.5","2.5","1.5","0",NA,NA,"0",NA,0
"8","A","III","a","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.III.a","Center",1,0,"5","9","10","0",NA,NA,"0",NA,0
"8","A","III","a","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.III.a","Center",1,0,"5","9","10","0",NA,NA,"0",NA,0
"8","A","III","a","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.III.a","Center",1,0,"5","9","10","0",NA,NA,"0",NA,0
"8","A","III","a","Aristida",1,NA,NA,NA,NA,"AB.8.A.III.a","Center",1,0,"23","21","27","0",NA,NA,"0",NA,0
"8","A","III","a","Aristida",2,NA,NA,NA,NA,"AB.8.A.III.a","Center",1,0,"23","21","27","0",NA,NA,"0",NA,0
"8","A","III","a","Aristida",3,NA,NA,NA,NA,"AB.8.A.III.a","Center",1,0,"23","21","27","0",NA,NA,"0",NA,0
"8","A","III","a","Anthaenantia",1,NA,NA,NA,NA,"AV.8.A.III.a","Center",1,0,"13.5","9","4.5","0",NA,NA,"0",NA,0
"8","A","III","a","Anthaenantia",2,NA,NA,NA,NA,"AV.8.A.III.a","Center",1,0,"13.5","9","4.5","0",NA,NA,"0",NA,0
"8","A","III","a","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.III.a","Center",1,0,"13.5","9","4.5","0",NA,NA,"0",NA,0
"8","A","III","b","Liatris",1,"1","10",NA,NA,"LE.8.A.III.b","Center",1,1,"20","33","24","1","0","0","0",NA,10
"8","A","III","b","Liatris",2,"2","9",NA,NA,"LE.8.A.III.b","Center",1,1,"20","33","24","1","0","0","0",NA,10
"8","A","III","b","Liatris",3,NA,NA,NA,NA,"LE.8.A.III.b","Center",1,1,"20","33","24","1","0","0","0",NA,10
"8","A","III","b","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.III.b","Center",1,0,"15","10","7.5","0",NA,NA,"0",NA,10
"8","A","III","b","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.III.b","Center",1,0,"15","10","7.5","0",NA,NA,"0",NA,10
"8","A","III","b","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.III.b","Center",1,0,"15","10","7.5","0",NA,NA,"0",NA,10
"8","A","III","b","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.III.b","Center",1,0,"50","40","34","0",NA,NA,"0",NA,10
"8","A","III","b","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.III.b","Center",1,0,"50","40","34","0",NA,NA,"0",NA,10
