Species,EU,Patch,Corner,Distance,Live/dead,Reproductive status,# Reproductive structures,Transplant notes,# recruits in plot,# recruits out of plot,Recruit notes
GD,52,A,I,b,.,.,.,,.,.,
LE,52,A,I,b,.,.,.,,.,.,
NG,52,A,I,b,.,.,.,,.,.,
SS,52,A,I,b,.,.,.,,.,.,
AB,52,A,I,c,.,.,.,,.,.,
AV,52,A,I,c,.,.,.,,.,.,
CB,52,A,I,c,.,.,.,,.,.,
GD,52,A,I,c,.,.,.,,.,.,
LE,52,A,I,c,.,.,.,,.,.,
NG,52,A,I,c,.,.,.,,.,.,
SS,52,A,I,c,.,.,.,,.,.,
AB,52,A,I,d,.,.,.,,.,.,
AV,52,A,I,d,.,.,.,,.,.,
CB,52,A,I,d,.,.,.,,.,.,
GD,52,A,I,d,.,.,.,,.,.,
LE,52,A,I,d,.,.,.,,.,.,
NG,52,A,I,d,.,.,.,,.,.,
SS,52,A,I,d,.,.,.,,.,.,
AB,52,A,II,a,.,.,.,,.,.,
AV,52,A,II,a,.,.,.,,.,.,
CB,52,A,II,a,.,.,.,,.,.,
GD,52,A,II,a,.,.,.,,.,.,
LE,52,A,II,a,.,.,.,,.,.,
NG,52,A,II,a,.,.,.,,.,.,
SS,52,A,II,a,.,.,.,,.,.,
AB,52,A,II,b,.,.,.,,.,.,
AV,52,A,II,b,.,.,.,,.,.,
CB,52,A,II,b,.,.,.,,.,.,
GD,52,A,II,b,.,.,.,,.,.,
LE,52,A,II,b,.,.,.,,.,.,
NG,52,A,II,b,.,.,.,,.,.,
SS,52,A,II,b,.,.,.,,.,.,
AB,52,A,II,c,.,.,.,,.,.,
AV,52,A,II,c,.,.,.,,.,.,
CB,52,A,II,c,.,.,.,,.,.,
GD,52,A,II,c,.,.,.,,.,.,
LE,52,A,II,c,.,.,.,,.,.,
NG,52,A,II,c,.,.,.,,.,.,
SS,52,A,II,c,.,.,.,,.,.,
AB,52,A,II,d,.,.,.,,.,.,
AV,52,A,II,d,.,.,.,,.,.,
CB,52,A,II,d,.,.,.,,.,.,
GD,52,A,II,d,.,.,.,,.,.,
LE,52,A,II,d,.,.,.,,.,.,
NG,52,A,II,d,.,.,.,,.,.,
SS,52,A,II,d,.,.,.,,.,.,
AB,52,A,III,a,.,.,.,,.,.,
AV,52,A,III,a,.,.,.,,.,.,
CB,52,A,III,a,.,.,.,,.,.,
GD,52,A,III,a,.,.,.,,.,.,
LE,52,A,III,a,.,.,.,,.,.,
NG,52,A,III,a,.,.,.,,.,.,
SS,52,A,III,a,.,.,.,,.,.,
AB,52,A,III,b,.,.,.,,.,.,
AV,52,A,III,b,.,.,.,,.,.,
CB,52,A,III,b,.,.,.,,.,.,
GD,52,A,III,b,.,.,.,,.,.,
LE,52,A,III,b,.,.,.,,.,.,
NG,52,A,III,b,.,.,.,,.,.,
SS,52,A,III,b,.,.,.,,.,.,
AB,52,A,III,c,.,.,.,,.,.,
AV,52,A,III,c,.,.,.,,.,.,
CB,52,A,III,c,.,.,.,,.,.,
GD,52,A,III,c,.,.,.,,.,.,
LE,52,A,III,c,.,.,.,,.,.,
NG,52,A,III,c,.,.,.,,.,.,
SS,52,A,III,c,.,.,.,,.,.,
AB,52,A,III,d,.,.,.,,.,.,
AV,52,A,III,d,.,.,.,,.,.,
CB,52,A,III,d,.,.,.,,.,.,
GD,52,A,III,d,.,.,.,,.,.,
LE,52,A,III,d,.,.,.,,.,.,
NG,52,A,III,d,.,.,.,,.,.,
SS,52,A,III,d,.,.,.,,.,.,
AB,52,A,IV,a,.,.,.,,.,.,
AV,52,A,IV,a,.,.,.,,.,.,
CB,52,A,IV,a,.,.,.,,.,.,
GD,52,A,IV,a,.,.,.,,.,.,
LE,52,A,IV,a,.,.,.,,.,.,
NG,52,A,IV,a,.,.,.,,.,.,
SS,52,A,IV,a,.,.,.,,.,.,
AB,52,A,IV,b,.,.,.,,.,.,
AV,52,A,IV,b,.,.,.,,.,.,
CB,52,A,IV,b,.,.,.,,.,.,
GD,52,A,IV,b,.,.,.,,.,.,
LE,52,A,IV,b,.,.,.,,.,.,
NG,52,A,IV,b,.,.,.,,.,.,
SS,52,A,IV,b,.,.,.,,.,.,
AB,52,A,IV,c,.,.,.,,.,.,
AV,52,A,IV,c,.,.,.,,.,.,
CB,52,A,IV,c,.,.,.,,.,.,
GD,52,A,IV,c,.,.,.,,.,.,
LE,52,A,IV,c,.,.,.,,.,.,
NG,52,A,IV,c,.,.,.,,.,.,
SS,52,A,IV,c,.,.,.,,.,.,
AB,52,A,IV,d,.,.,.,,.,.,
AV,52,A,IV,d,.,.,.,,.,.,
CB,52,A,IV,d,.,.,.,,.,.,
GD,52,A,IV,d,.,.,.,,.,.,
LE,52,A,IV,d,.,.,.,,.,.,
NG,52,A,IV,d,.,.,.,,.,.,
SS,52,A,IV,d,.,.,.,,.,.,
AB,52,B,I,a,1,1,11-100,,0,0,
AV,52,B,I,a,1,1,"""1-10""",,0,0,
CB,52,B,I,a,1,1,11-100,,1,0,
GD,52,B,I,a,1,0,.,,0,0,
LE,52,B,I,a,1,1,11-100,,0,0,
NG,52,B,I,a,1,0,.,,0,0,
SS,52,B,I,a,1,0,.,,0,0,
AB,52,B,I,b,1,1,"""1-10""",,0,0,
AV,52,B,I,b,1,1,11-100,,0,0,
CB,52,B,I,b,1,1,101-200,,8,1,
GD,52,B,I,b,1,0,.,,0,0,
LE,52,B,I,b,1,1,11-100,,0,0,
NG,52,B,I,b,1,0,.,,0,0,
SS,52,B,I,b,0,.,.,,0,0,
AB,52,B,I,c,1,1,100-200,,0,0,
AV,52,B,I,c,1,1,11-100,,9,10,
CB,52,B,I,c,1,1,100-200,,2,2,
GD,52,B,I,c,1,0,.,,0,0,
LE,52,B,I,c,1,0,.,,0,0,
NG,52,B,I,c,1,0,.,,0,0,
SS,52,B,I,c,1,0,.,,0,0,
AB,52,B,I,d,1,1,11-100,,1,0,
AV,52,B,I,d,1,1,11-100,,0,0,
CB,52,B,I,d,1,1,11-100,,6,1,
GD,52,B,I,d,0,.,.,,0,0,
LE,52,B,I,d,0,.,.,,0,0,
NG,52,B,I,d,1,0,.,,0,0,
SS,52,B,I,d,1,1,"""1-10""",,0,0,
AB,52,B,II,a,1,1,11-100,,0,0,
AV,52,B,II,a,1,1,11-100,,0,0,
CB,52,B,II,a,1,1,100-200,,0,0,
GD,52,B,II,a,1,0,.,,0,0,
LE,52,B,II,a,1,1,11-100,,0,0,
NG,52,B,II,a,1,1,"""1-10""",male or last yr,0,0,
SS,52,B,II,a,1,1,"""1-10""",,0,0,
AB,52,B,II,b,1,0,.,,0,0,
AV,52,B,II,b,1,1,11-100,,2,0,
CB,52,B,II,b,1,1,11-100,,5,1,
GD,52,B,II,b,0,.,.,,0,0,
LE,52,B,II,b,1,1,11-100,,43,6,
NG,52,B,II,b,1,0,.,,0,0,
SS,52,B,II,b,1,0,.,,0,0,
AB,52,B,II,c,.,.,.,,0,0,
AV,52,B,II,c,1,1,11-100,,0,0,
CB,52,B,II,c,1,1,11-100,,21,3,
GD,52,B,II,c,1,0,.,,0,0,
LE,52,B,II,c,0,.,.,,1,0,
NG,52,B,II,c,0,.,.,,0,0,
SS,52,B,II,c,1,1,"""1-10""",,0,0,
AB,52,B,II,d,1,1,"""1-10""",,3,0,
AV,52,B,II,d,1,1,11-100,,1,1,
CB,52,B,II,d,1,1,11-100,,7,1,
GD,52,B,II,d,0,.,.,,0,0,
LE,52,B,II,d,1,1,11-100,,0,0,
NG,52,B,II,d,1,0,.,,2,0,
SS,52,B,II,d,1,1,11-100,,1,0,
AB,52,B,III,a,1,1,"""1-10""",,0,0,
AV,52,B,III,a,1,1,"""1-10""",,0,0,
CB,52,B,III,a,1,1,11-100,,0,0,
GD,52,B,III,a,1,0,.,,0,0,
LE,52,B,III,a,0,.,.,,6,0,
NG,52,B,III,a,1,0,.,,0,0,
SS,52,B,III,a,1,1,"""1-10""",,0,0,
AB,52,B,III,b,1,1,11-100,,0,0,
AV,52,B,III,b,1,1,11-100,,1,0,
CB,52,B,III,b,1,1,11-100,very small plant,1,5,
GD,52,B,III,b,1,0,.,,0,0,
LE,52,B,III,b,1,1,11-100,,0,0,
NG,52,B,III,b,1,0,.,,0,0,
SS,52,B,III,b,1,0,.,,0,0,
AB,52,B,III,c,1,1,11-100,,0,0,
AV,52,B,III,c,1,1,11-100,,0,1,
CB,52,B,III,c,1,1,200-300,,14,12,
GD,52,B,III,c,0,.,.,,0,0,
LE,52,B,III,c,1,1,11-100,,0,0,
NG,52,B,III,c,1,0,.,,0,0,
SS,52,B,III,c,1,0,.,,0,0,
AB,52,B,III,d,1,1,11-100,,1,0,
AV,52,B,III,d,1,1,11-100,,2,1,
CB,52,B,III,d,1,1,100-200,,3,16,
GD,52,B,III,d,1,0,.,,0,0,
LE,52,B,III,d,.,.,.,,.,.,
NG,52,B,III,d,1,0,.,,0,0,
SS,52,B,III,d,0,.,.,,0,0,
AB,52,B,IV,a,1,0,.,,0,0,
AV,52,B,IV,a,1,1,"""1-10""",,0,0,
CB,52,B,IV,a,1,1,11-100,,0,0,
GD,52,B,IV,a,1,0,.,,0,0,
LE,52,B,IV,a,1,1,11-100,,0,0,
NG,52,B,IV,a,1,0,.,,0,0,
SS,52,B,IV,a,1,1,"""1-10""",,0,0,
AB,52,B,IV,b,1,1,11-100,,0,0,
AV,52,B,IV,b,1,1,"""1-10""",,0,0,
CB,52,B,IV,b,1,1,11-100,,6,0,
GD,52,B,IV,b,0,.,.,,0,0,
LE,52,B,IV,b,1,1,11-100,,0,0,
NG,52,B,IV,b,1,1,1,male or last yr,0,0,
SS,52,B,IV,b,1,0,.,,0,0,
AB,52,B,IV,c,1,1,11-100,,0,0,
AV,52,B,IV,c,1,1,11-100,,0,0,
CB,52,B,IV,c,1,1,11-100,,17,2,
GD,52,B,IV,c,.,.,.,,0,0,
LE,52,B,IV,c,1,1,100-200,,0,0,
NG,52,B,IV,c,1,1,"""1-10""",male or last yr,0,0,
SS,52,B,IV,c,1,1,"""1-10""",,2,0,
AB,52,B,IV,d,1,1,"""1-10""",,0,2,
AV,52,B,IV,d,1,1,11-100,,0,0,
CB,52,B,IV,d,1,1,11-100,,19,9,
GD,52,B,IV,d,1,1,"""1-10""",,0,0,
LE,52,B,IV,d,0,.,.,,0,0,
NG,52,B,IV,d,1,1,1,male or last yr,0,0,
SS,52,B,IV,d,1,1,"""1-10""",,0,8,
AB,52,C,I,a,1,1,11-100,,0,0,
AV,52,C,I,a,1,1,"""1-10""",,0,0,
CB,52,C,I,a,1,1,11-100,,0,0,
GD,52,C,I,a,1,0,.,,0,0,
LE,52,C,I,a,1,0,.,,0,0,
NG,52,C,I,a,0,.,.,,0,0,
SS,52,C,I,a,0,.,.,,0,0,
AB,52,C,I,b,1,1,"""1-10""",,0,0,
AV,52,C,I,b,1,0,.,,0,0,
CB,52,C,I,b,1,1,11-100,,4,4,
GD,52,C,I,b,.,.,.,,0,0,
LE,52,C,I,b,0,.,.,,0,0,
NG,52,C,I,b,1,0,.,,0,0,
SS,52,C,I,b,1,0,.,,0,0,
AB,52,C,I,c,0,.,.,,0,0,
AV,52,C,I,c,1,1,11-100,,1,0,
CB,52,C,I,c,1,1,11-100,,0,0,
GD,52,C,I,c,1,0,.,,0,0,
LE,52,C,I,c,0,.,.,,0,0,
NG,52,C,I,c,0,.,.,,0,0,
SS,52,C,I,c,1,0,.,,0,0,
AB,52,C,I,d,.,.,.,,0,0,
AV,52,C,I,d,1,1,"""1-10""",,0,0,
CB,52,C,I,d,1,1,11-100,,0,0,
GD,52,C,I,d,.,.,.,,0,0,
LE,52,C,I,d,.,.,.,,0,0,
NG,52,C,I,d,1,0,.,,0,0,
SS,52,C,I,d,0,.,.,,0,0,
AB,52,C,II,a,1,1,100-200,,0,0,
AV,52,C,II,a,1,1,11-100,,0,0,
CB,52,C,II,a,1,0,.,,0,0,
GD,52,C,II,a,1,0,.,,0,0,
LE,52,C,II,a,1,1,11-100,,0,0,
NG,52,C,II,a,1,0,.,,0,0,
SS,52,C,II,a,1,1,"""1-10""",,0,0,
AB,52,C,II,b,1,0,.,,0,0,
AV,52,C,II,b,1,1,11-100,,0,0,
CB,52,C,II,b,1,1,101-200,,0,0,
GD,52,C,II,b,0,.,.,,0,0,
LE,52,C,II,b,0,.,.,,0,0,
NG,52,C,II,b,0,.,.,,0,0,
SS,52,C,II,b,1,1,"""1-10""",,0,0,
AB,52,C,II,c,1,1,11-100,,0,0,
AV,52,C,II,c,0,.,.,,0,0,
CB,52,C,II,c,1,1,11-100,,0,0,
GD,52,C,II,c,.,.,.,,0,0,
LE,52,C,II,c,0,.,.,,0,0,
NG,52,C,II,c,1,0,.,,0,0,
SS,52,C,II,c,1,0,.,,0,0,
AB,52,C,II,d,1,0,.,,0,0,
AV,52,C,II,d,1,1,11-100,,0,0,
CB,52,C,II,d,1,1,11-100,,0,0,
GD,52,C,II,d,1,0,.,,0,0,
LE,52,C,II,d,1,0,.,,0,0,
NG,52,C,II,d,1,0,.,,0,0,
SS,52,C,II,d,1,0,.,,0,0,
AB,52,C,III,a,1,1,"""1-10""",,0,0,
AV,52,C,III,a,0,.,.,,0,0,
CB,52,C,III,a,1,1,11-100,,7,0,
GD,52,C,III,a,1,0,.,,0,0,
LE,52,C,III,a,1,1,11-100,,0,0,
NG,52,C,III,a,0,.,.,,0,0,
SS,52,C,III,a,1,1,"""1-10""",,0,0,
AB,52,C,III,b,1,0,.,,0,0,
AV,52,C,III,b,1,1,"""1-10""",,0,0,
CB,52,C,III,b,1,1,100-200,,0,0,
GD,52,C,III,b,.,.,.,,0,0,
LE,52,C,III,b,1,1,200-300,,0,0,
NG,52,C,III,b,0,.,.,,0,0,
SS,52,C,III,b,1,0,.,,0,0,
AB,52,C,III,c,1,1,11-100,,0,0,
AV,52,C,III,c,1,1,"""1-10""",,3,0,
CB,52,C,III,c,1,1,11-100,,0,0,
GD,52,C,III,c,0,.,.,,0,0,
LE,52,C,III,c,0,.,.,,0,0,
NG,52,C,III,c,0,.,.,,0,0,
SS,52,C,III,c,1,1,"""1-10""",,0,0,
AB,52,C,III,d,1,1,11-100,,0,0,
AV,52,C,III,d,1,1,11-100,,0,0,
CB,52,C,III,d,1,1,11-100,,4,3,
GD,52,C,III,d,1,1,100-200,,0,0,
LE,52,C,III,d,0,.,.,,0,0,
NG,52,C,III,d,1,1,"""1-10""",male or last yr,0,0,
SS,52,C,III,d,1,0,.,,0,0,
AB,52,C,IV,a,1,1,11-100,,0,0,
AV,52,C,IV,a,1,1,11-100,,0,0,
CB,52,C,IV,a,1,0,.,,0,0,
GD,52,C,IV,a,1,0,.,,0,0,
LE,52,C,IV,a,1,1,11-100,,0,0,
NG,52,C,IV,a,1,0,.,,0,0,
SS,52,C,IV,a,1,0,.,,0,0,
AB,52,C,IV,b,0,0,.,,0,0,
AV,52,C,IV,b,1,1,11-100,,1,0,
CB,52,C,IV,b,1,1,100-200,,0,0,
GD,52,C,IV,b,0,0,.,,0,0,
LE,52,C,IV,b,1,1,200-300,,13,0,
NG,52,C,IV,b,1,0,.,,0,0,
SS,52,C,IV,b,1,0,.,,0,0,
AB,52,C,IV,c,1,0,.,,0,0,
AV,52,C,IV,c,1,1,11-100,,0,0,
CB,52,C,IV,c,1,1,201-300,,73,10,
GD,52,C,IV,c,0,.,.,,0,0,
LE,52,C,IV,c,0,.,.,,5,0,
NG,52,C,IV,c,0,.,.,,0,0,
SS,52,C,IV,c,0,.,.,,0,0,
AB,52,C,IV,d,1,1,100-200,,0,0,
AV,52,C,IV,d,1,1,11-100,,0,0,
CB,52,C,IV,d,1,1,11-100,,13,9,
GD,52,C,IV,d,.,.,.,,0,0,
LE,52,C,IV,d,0,.,.,,0,0,
NG,52,C,IV,d,1,0,.,,0,0,
SS,52,C,IV,d,1,0,.,,0,0,
AB,52,D,I,a,1,1,11-100,,0,0,
AV,52,D,I,a,1,1,11-100,,0,0,
CB,52,D,I,a,1,1,11-100,,0,0,
GD,52,D,I,a,1,0,.,,0,0,
LE,52,D,I,a,1,1,11-100,,0,0,
NG,52,D,I,a,1,0,.,,0,0,
SS,52,D,I,a,1,0,.,,0,0,
AB,52,D,I,b,1,1,"""1-10""",,0,0,
AV,52,D,I,b,1,1,"""1-10""",,0,0,
CB,52,D,I,b,1,1,100-200,,6,0,
GD,52,D,I,b,1,0,.,,0,0,
LE,52,D,I,b,0,.,.,,0,0,
NG,52,D,I,b,1,0,.,,0,0,
SS,52,D,I,b,1,0,.,,0,0,
AB,52,D,I,c,1,0,.,,0,0,
AV,52,D,I,c,1,1,11-100,,3,1,
CB,52,D,I,c,1,1,11-100,,5,0,
GD,52,D,I,c,1,0,.,,0,0,
LE,52,D,I,c,0,.,.,,0,0,
NG,52,D,I,c,1,0,.,,0,0,
SS,52,D,I,c,1,1,"""1-10""",,0,0,
AB,52,D,I,d,1,1,11-100,,0,0,
AV,52,D,I,d,1,1,11-100,,0,0,
CB,52,D,I,d,1,1,100-200,,0,0,
GD,52,D,I,d,1,0,.,,0,0,
LE,52,D,I,d,1,1,400-500,,0,0,
NG,52,D,I,d,.,.,.,,.,.,
SS,52,D,I,d,1,1,"""1-10""",,0,0,
AB,52,D,II,a,1,1,200-300,,0,0,
AV,52,D,II,a,1,1,11-100,,0,0,
CB,52,D,II,a,.,.,.,,.,.,
GD,52,D,II,a,1,0,.,,0,0,
LE,52,D,II,a,1,0,.,,0,0,
NG,52,D,II,a,1,0,.,,0,0,
SS,52,D,II,a,1,1,"""1-10""",,0,0,
AB,52,D,II,b,1,1,11-100,,0,0,
AV,52,D,II,b,1,1,11-100,,0,0,
CB,52,D,II,b,1,1,201-300,,61,0,
GD,52,D,II,b,1,0,.,,0,0,
LE,52,D,II,b,1,1,11-100,,0,0,
NG,52,D,II,b,1,0,.,,0,0,
SS,52,D,II,b,1,0,.,,0,0,
AB,52,D,II,c,1,0,.,,0,0,
AV,52,D,II,c,1,1,11-100,,0,0,
CB,52,D,II,c,1,1,11-100,,25,1,
GD,52,D,II,c,.,.,.,,0,0,
LE,52,D,II,c,1,1,100-200,,0,3,
NG,52,D,II,c,1,1,"""1-10""",female,0,0,
SS,52,D,II,c,1,1,"""1-10""",,0,0,
AB,52,D,II,d,1,0,.,,0,0,
AV,52,D,II,d,0,.,.,,0,0,
CB,52,D,II,d,1,1,201-300,,4,0,
GD,52,D,II,d,1,0,.,,0,0,
LE,52,D,II,d,1,1,201-300,,0,0,
NG,52,D,II,d,1,1,"""1-10""",male or last yr,0,0,
SS,52,D,II,d,1,1,11-100,,0,0,
AB,52,D,III,a,1,1,"""1-10""",,0,0,
AV,52,D,III,a,1,1,11-100,,0,0,
CB,52,D,III,a,1,1,11-100,,0,0,
GD,52,D,III,a,1,0,.,,0,0,
LE,52,D,III,a,1,0,.,,0,0,
NG,52,D,III,a,1,0,.,,0,0,
SS,52,D,III,a,1,0,.,,0,0,
AB,52,D,III,b,1,1,11-100,,0,0,
AV,52,D,III,b,1,1,11-100,,0,0,
CB,52,D,III,b,1,1,11-100,,0,0,
GD,52,D,III,b,.,.,.,,0,0,
LE,52,D,III,b,0,.,.,,0,0,
NG,52,D,III,b,1,0,.,,0,0,
SS,52,D,III,b,1,1,"""1-10""",,0,0,
AB,52,D,III,c,1,1,101-200,,0,0,
AV,52,D,III,c,1,1,11-100,,0,0,
CB,52,D,III,c,1,1,201-300,,4,0,
GD,52,D,III,c,1,0,.,,0,0,
LE,52,D,III,c,0,.,.,,0,0,
NG,52,D,III,c,1,0,.,,0,0,
SS,52,D,III,c,0,.,.,,0,0,
AB,52,D,III,d,.,.,.,,0,0,
AV,52,D,III,d,1,1,11-100,,2,0,
CB,52,D,III,d,1,1,300-400,,2,1,
GD,52,D,III,d,.,.,.,,0,0,
LE,52,D,III,d,1,1,11-100,,0,0,
NG,52,D,III,d,1,0,.,,0,0,
SS,52,D,III,d,0,.,.,,0,0,
AB,52,D,IV,a,1,1,11-100,,0,0,
AV,52,D,IV,a,1,1,"""1-10""",,0,0,
CB,52,D,IV,a,1,1,101-200,,0,0,
GD,52,D,IV,a,1,0,.,,0,0,
LE,52,D,IV,a,1,1,11-100,,0,0,
NG,52,D,IV,a,1,0,.,,0,0,
SS,52,D,IV,a,1,1,"""1-10""",,0,0,
AB,52,D,IV,b,1,1,11-100,,0,0,
AV,52,D,IV,b,1,1,11-100,,0,0,
CB,52,D,IV,b,1,1,100-200,,28,3,
GD,52,D,IV,b,1,0,.,,0,0,
LE,52,D,IV,b,0,.,.,,0,0,
NG,52,D,IV,b,1,0,.,,0,0,
SS,52,D,IV,b,0,.,.,,0,0,
AB,52,D,IV,c,1,0,.,,0,0,
AV,52,D,IV,c,1,1,11-100,,0,0,
CB,52,D,IV,c,1,1,101-200,,0,0,
GD,52,D,IV,c,0,.,.,,0,0,
LE,52,D,IV,c,0,.,.,,0,0,
NG,52,D,IV,c,1,0,.,,0,0,
SS,52,D,IV,c,1,1,"""1-10""",,0,0,
AB,52,D,IV,d,.,.,.,,0,0,
AV,52,D,IV,d,0,.,.,,0,0,
CB,52,D,IV,d,1,1,11-100,,2,2,
GD,52,D,IV,d,0,.,.,,0,0,
LE,52,D,IV,d,0,.,.,,0,0,
NG,52,D,IV,d,1,0,.,,0,0,
SS,52,D,IV,d,1,0,.,,0,0,
AB,52,E,I,a,1,0,.,,0,0,
AV,52,E,I,a,1,1,11-100,,0,2,
CB,52,E,I,a,1,1,11-100,,21,11,
GD,52,E,I,a,1,0,.,,0,0,
LE,52,E,I,a,1,1,11-100,,0,0,
NG,52,E,I,a,0,.,.,,0,0,
SS,52,E,I,a,1,0,.,,0,1,
AB,52,E,I,b,1,1,11-100,,0,0,
AV,52,E,I,b,1,1,"""1-10""",,0,0,
CB,52,E,I,b,1,1,200-300,,11,8,
GD,52,E,I,b,1,0,.,,1,0,
LE,52,E,I,b,0,.,.,,0,0,
NG,52,E,I,b,1,1,.,male or last yr,0,0,
SS,52,E,I,b,.,.,.,,0,0,
AB,52,E,I,c,1,1,11-100,,1,1,
AV,52,E,I,c,1,1,11-100,,12,6,
CB,52,E,I,c,1,1,101-200,,18,0,
GD,52,E,I,c,0,.,.,,0,0,
LE,52,E,I,c,0,.,.,,0,0,
NG,52,E,I,c,1,1,"""1-10""",male or last yr,0,0,
SS,52,E,I,c,0,.,.,,0,0,
AB,52,E,I,d,.,.,.,,0,0,
AV,52,E,I,d,1,1,"""1-10""",,1,1,
CB,52,E,I,d,1,1,300-400,,72,27,
GD,52,E,I,d,1,0,.,,0,0,
LE,52,E,I,d,1,1,11-100,,0,2,
NG,52,E,I,d,1,0,.,,0,0,
SS,52,E,I,d,1,1,"""1-10""",,0,0,
AB,52,E,II,a,1,1,"""1-10""",,0,0,
AV,52,E,II,a,1,1,"""1-10""",,0,0,
CB,52,E,II,a,1,1,11-100,,0,0,
GD,52,E,II,a,1,0,.,,1,0,
LE,52,E,II,a,1,0,.,,0,0,
NG,52,E,II,a,1,0,.,,0,0,
SS,52,E,II,a,0,.,.,,0,0,
AB,52,E,II,b,1,1,11-100,,0,0,
AV,52,E,II,b,1,1,11-100,,0,1,
CB,52,E,II,b,0,.,.,,4,4,
GD,52,E,II,b,0,.,.,,0,0,
LE,52,E,II,b,1,0,.,,0,0,
NG,52,E,II,b,1,0,.,,0,0,
SS,52,E,II,b,1,1,"""1-10""",,1,0,
AB,52,E,II,c,0,.,.,,0,0,
AV,52,E,II,c,1,1,11-100,,4,1,
CB,52,E,II,c,1,1,101-200,,0,0,
GD,52,E,II,c,0,.,.,,0,0,
LE,52,E,II,c,1,1,101-200,,0,0,
NG,52,E,II,c,1,0,.,,0,0,
SS,52,E,II,c,1,0,.,,0,0,
AB,52,E,II,d,1,1,11-100,,0,0,
AV,52,E,II,d,1,1,11-100,,0,0,
CB,52,E,II,d,1,1,100-200,,0,0,
GD,52,E,II,d,1,0,.,,0,0,
LE,52,E,II,d,1,1,100-200,,0,0,
NG,52,E,II,d,1,1,"""1-10""",male or last yr,0,0,
SS,52,E,II,d,1,0,.,,0,0,
AB,52,E,III,a,1,0,.,,0,0,
AV,52,E,III,a,.,.,.,,1,1,
CB,52,E,III,a,1,1,11-100,,27,19,
GD,52,E,III,a,1,0,.,,0,0,
LE,52,E,III,a,0,.,.,,7,0,
NG,52,E,III,a,1,0,.,,0,0,
SS,52,E,III,a,0,.,.,,3,2,
AB,52,E,III,b,1,0,.,,0,0,
AV,52,E,III,b,1,1,11-100,,1,2,
CB,52,E,III,b,1,1,100-200,,2,1,
GD,52,E,III,b,0,.,.,,0,0,
LE,52,E,III,b,0,.,.,,0,0,
NG,52,E,III,b,1,1,"""1-10""",male or last yr,0,0,
SS,52,E,III,b,1,0,.,,0,0,
AB,52,E,III,c,1,0,.,,0,0,
AV,52,E,III,c,1,1,11-100,,2,0,
CB,52,E,III,c,1,1,101-200,,33,14,
GD,52,E,III,c,0,.,.,,0,0,
LE,52,E,III,c,0,.,.,,0,0,
NG,52,E,III,c,1,0,.,,0,0,
SS,52,E,III,c,0,.,.,,0,0,
AB,52,E,III,d,.,.,.,,0,0,
AV,52,E,III,d,1,1,11-100,,1,0,
CB,52,E,III,d,0,.,.,,0,0,
GD,52,E,III,d,0,.,.,,0,0,
LE,52,E,III,d,.,.,.,,0,0,
NG,52,E,III,d,1,0,.,,0,0,
SS,52,E,III,d,0,.,.,,0,0,"second line on sheet with data for SS: 1, 1, 11-100, 0, 0"
AB,52,E,IV,a,0,.,.,,0,0,
AV,52,E,IV,a,1,1,11-100,,0,0,
CB,52,E,IV,a,1,1,100-200,,0,0,
GD,52,E,IV,a,1,0,.,,0,0,
LE,52,E,IV,a,1,1,11-100,,0,0,
NG,52,E,IV,a,1,0,.,,0,0,
SS,52,E,IV,a,1,1,11-100,,0,0,
AB,52,E,IV,b,1,1,11-100,,0,0,
AV,52,E,IV,b,1,1,11-100,,0,0,
CB,52,E,IV,b,1,1,200-300,,1,1,
GD,52,E,IV,b,0,.,.,,0,0,
LE,52,E,IV,b,1,1,100-200,,9,2,
NG,52,E,IV,b,1,0,.,,0,0,
SS,52,E,IV,b,0,.,.,,0,0,
AB,52,E,IV,c,1,1,100-200,,0,3,
AV,52,E,IV,c,1,1,11-100,,1,0,
CB,52,E,IV,c,1,1,200-300,,72,39,
GD,52,E,IV,c,1,1,"""1-10""",,0,0,
LE,52,E,IV,c,0,.,.,,0,0,
NG,52,E,IV,c,1,1,1,male or last yr,0,0,
SS,52,E,IV,c,0,.,.,,0,0,
AB,52,E,IV,d,.,.,.,,0,0,
AV,52,E,IV,d,1,1,11-100,,2,4,
CB,52,E,IV,d,1,1,11-100,,71,64,
GD,52,E,IV,d,1,0,.,,1,0,
LE,52,E,IV,d,.,.,.,,0,0,
NG,52,E,IV,d,1,0,.,,0,0,
SS,52,E,IV,d,1,0,.,,0,0,
AB,57,A,I,a,.,.,.,.,.,.,
AV,57,A,I,a,.,.,.,.,.,.,
CB,57,A,I,a,.,.,.,.,.,.,
GD,57,A,I,a,.,.,.,.,.,.,
LE,57,A,I,a,.,.,.,.,.,.,
NG,57,A,I,a,.,.,.,.,.,.,
SS,57,A,I,a,.,.,.,.,.,.,
AB,57,A,I,b,.,.,.,.,.,.,
AV,57,A,I,b,.,.,.,.,.,.,
CB,57,A,I,b,.,.,.,.,.,.,
GD,57,A,I,b,.,.,.,.,.,.,
LE,57,A,I,b,.,.,.,.,.,.,
NG,57,A,I,b,.,.,.,.,.,.,
SS,57,A,I,b,.,.,.,.,.,.,
AB,57,A,I,c,.,.,.,.,.,.,
AV,57,A,I,c,.,.,.,.,.,.,
CB,57,A,I,c,.,.,.,.,.,.,
GD,57,A,I,c,.,.,.,.,.,.,
LE,57,A,I,c,.,.,.,.,.,.,
